"African, African American, and Diaspora Studies Major, B.A.",AAAD 101,AAAD 130,AAAD 395,AAAD 487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"American Studies Major, B.A.",AMST 101,AMST 102,AMST/HIST 110,AMST 210,AMST 255,AMST 277,FOLK 202,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"American Studies Major, B.A.–American Indian and Indigenous Studies Concentration",AMST/HIST 110,AMST/ANTH 203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anthropology Major, B.A.",ANTH 143,ANTH 148,ANTH 217,ANTH 315,ANTH 319,ANTH 121,ANTH 145,ANTH 149,ANTH 220,ANTH 222,ANTH 231,ANTH 232,ANTH 250,ANTH 454,ANTH 457,ANTH 102,ANTH 120,ANTH 147,ANTH 240,ANTH 280,ANTH 284,ANTH 291,ANTH 294,ANTH 297,ANTH 298,ANTH 490,ANTH 393,ANTH 395,ANTH 451,ANTH 453,ANTH 92,ANTH 93,ANTH 195,ANTH 196,ANTH 295,ANTH 296,ANTH 396,ANTH 691H,ANTH 692H,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Archaeology Major, B.A.",ANTH 220,ANTH 291,CLAR 411,ANTH 410,ANTH 411,ANTH 413& 413L,ANTH 414& 414L,ANTH 415& 415L,ANTH 416,ANTH 417& 417L,ANTH 418,ANTH 425,ANTH 451,ANTH 453,CLAR 650,ANTH 50,ANTH/AMST 54,ANTH 60,ANTH 64,ANTH 65,ANTH 121,ANTH 123,ANTH 144,ANTH 145,ANTH 148,ANTH 149,ANTH 222,ANTH 231,ANTH 232,ANTH 233,ANTH 235,ANTH 250,ANTH 252,ANTH 410,ANTH 411,ANTH 412,ANTH 413& 413L,ANTH 414& 414L,ANTH 415& 415L,ANTH 416,ANTH 417& 417L,ANTH 418,ANTH 419,ANTH 420,ANTH/GEOL 421,ANTH 423,ANTH 425,ANTH 454,ANTH 456,ANTH 457,ANTH/ENEC 460,ANTH/FOLK 455,ANTH/WGST 458,ANTH 468,ANTH 535,ANTH 538,ANTH 550,ANTH 551,ANTH 650,ANTH 651,ANTH 674,ARCH 395,ARCH 396,CLAR 50,CLAR 51,CLAR/JWST/RELI 110,CLAR 120,CLAR 190,CLAR 200,CLAR 241,CLAR 242,CLAR 243,CLAR 244,CLAR 245,CLAR 247,CLAR/ARTH 262,CLAR/ARTH 263,CLAR/RELI 375,CLAR 380,CLAR 396,CLAR 462,CLAR/ARTH 464,CLAR/ARTH 465,CLAR/ARTH 474,CLAR 475,CLAR/ARTH 476,CLAR 480,CLAR 482,CLAR 488,CLAR 489,CLAR 491,CLAR/JWST/RELI 512,CLAR 561,CLAS 71,CLAS 73,ARTH 200,ARTH 460,ARTH 482,LING 558,LING 560,LING 561,RELI 63
"Art History Major, B.A.",ARTH 391,ARTS---,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Asian Studies Major, B.A.–Arab Cultures Concentration",ARAB 300,ASIA 73,ASIA 74,ARAB 150,ARAB 151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Asian Studies Major, B.A.–Chinese Concentration",CHIN 305,CHIN 306,CHIN 407,CHIN 408,CHIN 441,CHIN 443,CHIN 445,CHIN 490,CHIN 510,CHIN 521,CHIN 525,CHIN 590,CHIN 624,CHIN 631,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Asian Studies Major, B.A.–Interdisciplinary Concentration",ASIA 150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Asian Studies Major, B.A.–Japanese Concentration",JAPN 305,JAPN 306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
