COMP 110,MATH 130 or MATH 152 or MATH 210 or MATH 231 or MATH 129P or PHIL 155 or STOR 120 or STOR 151 or STOR 155,NULL,NULL
MATH 347,MATH 232,NULL,NULL
MATH 381,MATH 232,NULL,NULL
MATH 383,MATH 233,NULL,NULL
MATH 521,MATH 233,MATH 381,NULL
MATH 522,MATH 383,MATH 521,NULL
MATH 533,MATH 381,NULL,NULL
MATH 231,MATH 110,MATH 130,NULL
MATH 232,MATH 231,NULL,NULL
MATH 233,MATH 232,NULL,NULL
PHYS 118,MATH 231,MATH 232,NULL
COMP 210,COMP 110,MATH 231,COMP 283 or MATH 381
COMP 211,COMP 210,COMP 283 or MATH 381,NULL
COMP 301,COMP 210,COMP 283 or MATH 381,NULL
COMP 311,COMP 211,NULL,NULL
COMP 283,MATH 231,NULL,NULL
COMP 455,COMP 210 or COMP 410,COMP 283 or MATH 381,NULL
COMP 550,COMP 211,COMP 301,NULL
STOR 535,MATH 233,NULL,NULL
STOR 435,MATH 233,NULL,NULL
MATH 130,MATH 110
